PID, Clients, Delay (ms)
14608,8 Pubs and Subs ,1.51
14612,8 Pubs and Subs ,1.15
14612,8 Pubs and Subs ,2.11
14612,8 Pubs and Subs ,2.91
14612,8 Pubs and Subs ,3.67
14613,8 Pubs and Subs ,0.36
14613,8 Pubs and Subs ,0.79
14613,8 Pubs and Subs ,1.52
14613,8 Pubs and Subs ,1.86
14615,8 Pubs and Subs ,0.39
14615,8 Pubs and Subs ,0.40
14615,8 Pubs and Subs ,1.09
14615,8 Pubs and Subs ,1.30
14614,8 Pubs and Subs ,0.38
14614,8 Pubs and Subs ,0.87
14614,8 Pubs and Subs ,1.29
14614,8 Pubs and Subs ,1.73
14616,8 Pubs and Subs ,1.63
14616,8 Pubs and Subs ,1.63
14616,8 Pubs and Subs ,1.64
14616,8 Pubs and Subs ,2.08
14617,8 Pubs and Subs ,0.86
14617,8 Pubs and Subs ,0.98
14617,8 Pubs and Subs ,1.26
14617,8 Pubs and Subs ,1.51
14618,8 Pubs and Subs ,3.56
14618,8 Pubs and Subs ,3.89
14618,8 Pubs and Subs ,3.91
14618,8 Pubs and Subs ,4.19
14619,8 Pubs and Subs ,0.56
14619,8 Pubs and Subs ,0.84
14619,8 Pubs and Subs ,0.85
14619,8 Pubs and Subs ,1.04
14620,8 Pubs and Subs ,0.55
14620,8 Pubs and Subs ,1.23
14620,8 Pubs and Subs ,1.88
14620,8 Pubs and Subs ,2.51
14621,8 Pubs and Subs ,2.93
14621,8 Pubs and Subs ,3.83
14621,8 Pubs and Subs ,4.64
14621,8 Pubs and Subs ,5.68
14622,8 Pubs and Subs ,0.70
14622,8 Pubs and Subs ,1.52
14622,8 Pubs and Subs ,1.76
14622,8 Pubs and Subs ,2.26
14623,8 Pubs and Subs ,2.61
14623,8 Pubs and Subs ,2.61
14623,8 Pubs and Subs ,2.88
14623,8 Pubs and Subs ,3.06
14624,8 Pubs and Subs ,0.36
14624,8 Pubs and Subs ,0.80
14624,8 Pubs and Subs ,1.10
14624,8 Pubs and Subs ,1.58
14625,8 Pubs and Subs ,0.70
14625,8 Pubs and Subs ,0.70
14625,8 Pubs and Subs ,0.98
14625,8 Pubs and Subs ,0.99
14626,8 Pubs and Subs ,1.37
14626,8 Pubs and Subs ,2.27
14626,8 Pubs and Subs ,2.39
14626,8 Pubs and Subs ,2.61
14627,8 Pubs and Subs ,0.74
14627,8 Pubs and Subs ,1.55
14627,8 Pubs and Subs ,2.12
14627,8 Pubs and Subs ,2.44
14628,8 Pubs and Subs ,0.54
14628,8 Pubs and Subs ,0.55
14628,8 Pubs and Subs ,1.04
14628,8 Pubs and Subs ,1.05
14629,8 Pubs and Subs ,0.37
14629,8 Pubs and Subs ,0.86
14629,8 Pubs and Subs ,1.29
14629,8 Pubs and Subs ,2.24
14631,8 Pubs and Subs ,0.76
14631,8 Pubs and Subs ,1.39
14631,8 Pubs and Subs ,1.89
14631,8 Pubs and Subs ,2.36
14632,8 Pubs and Subs ,0.67
14632,8 Pubs and Subs ,0.98
14632,8 Pubs and Subs ,1.70
14632,8 Pubs and Subs ,2.34
14633,8 Pubs and Subs ,2.23
14633,8 Pubs and Subs ,2.26
14633,8 Pubs and Subs ,2.70
14633,8 Pubs and Subs ,3.14
14634,8 Pubs and Subs ,0.49
14634,8 Pubs and Subs ,0.47
14634,8 Pubs and Subs ,1.05
14634,8 Pubs and Subs ,1.61
14636,8 Pubs and Subs ,0.53
14636,8 Pubs and Subs ,0.82
14636,8 Pubs and Subs ,0.88
14636,8 Pubs and Subs ,1.15
14637,8 Pubs and Subs ,0.49
14637,8 Pubs and Subs ,1.18
14637,8 Pubs and Subs ,1.99
14637,8 Pubs and Subs ,2.57
14638,8 Pubs and Subs ,4.59
14638,8 Pubs and Subs ,5.24
14638,8 Pubs and Subs ,6.03
14638,8 Pubs and Subs ,7.12
14639,8 Pubs and Subs ,1.54
14639,8 Pubs and Subs ,2.26
14639,8 Pubs and Subs ,3.22
14639,8 Pubs and Subs ,4.04
14642,8 Pubs and Subs ,1.86
14642,8 Pubs and Subs ,1.88
14642,8 Pubs and Subs ,1.88
14642,8 Pubs and Subs ,1.89
14641,8 Pubs and Subs ,2.64
14641,8 Pubs and Subs ,2.74
14640,8 Pubs and Subs ,0.38
14640,8 Pubs and Subs ,0.41
14641,8 Pubs and Subs ,3.36
14640,8 Pubs and Subs ,1.28
14641,8 Pubs and Subs ,4.24
14640,8 Pubs and Subs ,1.97
14643,8 Pubs and Subs ,0.69
14643,8 Pubs and Subs ,0.63
14643,8 Pubs and Subs ,0.72
14643,8 Pubs and Subs ,1.52
14646,8 Pubs and Subs ,0.71
14646,8 Pubs and Subs ,1.43
14646,8 Pubs and Subs ,1.98
14646,8 Pubs and Subs ,2.58
14644,8 Pubs and Subs ,1.83
14644,8 Pubs and Subs ,1.67
14644,8 Pubs and Subs ,2.91
14644,8 Pubs and Subs ,3.57
14645,8 Pubs and Subs ,2.51
14645,8 Pubs and Subs ,2.51
14645,8 Pubs and Subs ,3.16
14645,8 Pubs and Subs ,3.79
14647,8 Pubs and Subs ,0.44
14647,8 Pubs and Subs ,1.00
14647,8 Pubs and Subs ,1.39
14647,8 Pubs and Subs ,1.89
14652,8 Pubs and Subs ,1.94
14652,8 Pubs and Subs ,2.64
14652,8 Pubs and Subs ,3.46
14652,8 Pubs and Subs ,4.31
14651,8 Pubs and Subs ,1.99
14651,8 Pubs and Subs ,2.77
14651,8 Pubs and Subs ,3.48
14651,8 Pubs and Subs ,3.48
14653,8 Pubs and Subs ,1.57
14653,8 Pubs and Subs ,2.04
14653,8 Pubs and Subs ,2.49
14653,8 Pubs and Subs ,2.93
14658,8 Pubs and Subs ,1.16
14658,8 Pubs and Subs ,1.58
14658,8 Pubs and Subs ,1.85
14658,8 Pubs and Subs ,2.12
14659,8 Pubs and Subs ,1.74
14659,8 Pubs and Subs ,2.23
