PID, Clients, Delay (ms)
24811,8 Pubs and Subs ,132.12
24803,8 Pubs and Subs ,777.20
24807,8 Pubs and Subs ,469.05
24806,8 Pubs and Subs ,591.72
24813,8 Pubs and Subs ,159.09
24802,8 Pubs and Subs ,852.19
24809,8 Pubs and Subs ,506.53
24807,8 Pubs and Subs ,579.99
24812,8 Pubs and Subs ,175.38
24805,8 Pubs and Subs ,886.15
24808,8 Pubs and Subs ,598.85
24809,8 Pubs and Subs ,628.56
24814,8 Pubs and Subs ,193.55
24806,8 Pubs and Subs ,810.18
24810,8 Pubs and Subs ,570.37
24808,8 Pubs and Subs ,712.89
24807,8 Pubs and Subs ,808.77
24810,8 Pubs and Subs ,641.39
24816,8 Pubs and Subs ,203.15
24811,8 Pubs and Subs ,565.67
24815,8 Pubs and Subs ,246.66
24809,8 Pubs and Subs ,852.43
24811,8 Pubs and Subs ,584.74
24817,8 Pubs and Subs ,204.65
24813,8 Pubs and Subs ,615.84
24808,8 Pubs and Subs ,946.20
24813,8 Pubs and Subs ,630.07
24812,8 Pubs and Subs ,594.14
24818,8 Pubs and Subs ,222.04
24810,8 Pubs and Subs ,880.04
24814,8 Pubs and Subs ,572.29
24812,8 Pubs and Subs ,673.47
24819,8 Pubs and Subs ,193.77
24816,8 Pubs and Subs ,507.85
24811,8 Pubs and Subs ,839.08
24814,8 Pubs and Subs ,661.39
24821,8 Pubs and Subs ,246.90
24815,8 Pubs and Subs ,541.51
24816,8 Pubs and Subs ,601.79
24813,8 Pubs and Subs ,871.80
24817,8 Pubs and Subs ,490.56
24820,8 Pubs and Subs ,242.91
24818,8 Pubs and Subs ,459.79
24812,8 Pubs and Subs ,867.26
24815,8 Pubs and Subs ,664.56
24819,8 Pubs and Subs ,405.53
24826,8 Pubs and Subs ,116.96
24821,8 Pubs and Subs ,442.16
24814,8 Pubs and Subs ,868.66
24817,8 Pubs and Subs ,649.62
24820,8 Pubs and Subs ,428.63
24833,8 Pubs and Subs ,163.87
24816,8 Pubs and Subs ,834.44
24826,8 Pubs and Subs ,245.17
24818,8 Pubs and Subs ,669.27
24833,8 Pubs and Subs ,246.46
24834,8 Pubs and Subs ,244.61
24815,8 Pubs and Subs ,895.94
24819,8 Pubs and Subs ,650.33
24834,8 Pubs and Subs ,294.13
24817,8 Pubs and Subs ,864.99
24821,8 Pubs and Subs ,702.18
24832,8 Pubs and Subs ,348.39
24832,8 Pubs and Subs ,382.08
24820,8 Pubs and Subs ,707.87
24818,8 Pubs and Subs ,899.12
24837,8 Pubs and Subs ,197.70
24837,8 Pubs and Subs ,216.93
24826,8 Pubs and Subs ,528.94
24833,8 Pubs and Subs ,530.36
24819,8 Pubs and Subs ,894.53
24835,8 Pubs and Subs ,288.39
24834,8 Pubs and Subs ,569.82
24835,8 Pubs and Subs ,310.43
24832,8 Pubs and Subs ,623.60
24821,8 Pubs and Subs ,991.75
24836,8 Pubs and Subs ,409.41
24836,8 Pubs and Subs ,412.65
24837,8 Pubs and Subs ,431.40
24835,8 Pubs and Subs ,475.15
24820,8 Pubs and Subs ,1023.56
24838,8 Pubs and Subs ,395.18
24838,8 Pubs and Subs ,397.78
24836,8 Pubs and Subs ,526.54
24826,8 Pubs and Subs ,866.89
24838,8 Pubs and Subs ,467.63
24833,8 Pubs and Subs ,881.92
24840,8 Pubs and Subs ,334.10
24840,8 Pubs and Subs ,340.69
24840,8 Pubs and Subs ,347.12
24839,8 Pubs and Subs ,348.34
24841,8 Pubs and Subs ,420.95
24839,8 Pubs and Subs ,409.26
24834,8 Pubs and Subs ,994.00
24839,8 Pubs and Subs ,417.53
24842,8 Pubs and Subs ,403.39
24841,8 Pubs and Subs ,515.97
24844,8 Pubs and Subs ,280.75
24832,8 Pubs and Subs ,1096.84
24841,8 Pubs and Subs ,557.50
24843,8 Pubs and Subs ,220.57
24842,8 Pubs and Subs ,512.42
24845,8 Pubs and Subs ,244.69
24837,8 Pubs and Subs ,936.32
24842,8 Pubs and Subs ,583.77
24846,8 Pubs and Subs ,287.89
24844,8 Pubs and Subs ,455.38
24850,8 Pubs and Subs ,231.36
24835,8 Pubs and Subs ,1014.72
24844,8 Pubs and Subs ,508.27
24851,8 Pubs and Subs ,155.84
24843,8 Pubs and Subs ,450.66
24853,8 Pubs and Subs ,129.65
24836,8 Pubs and Subs ,1130.85
24843,8 Pubs and Subs ,486.13
24845,8 Pubs and Subs ,489.55
24854,8 Pubs and Subs ,151.31
24845,8 Pubs and Subs ,543.99
24838,8 Pubs and Subs ,1113.69
24846,8 Pubs and Subs ,543.57
24852,8 Pubs and Subs ,230.13
24850,8 Pubs and Subs ,494.90
24840,8 Pubs and Subs ,989.67
24846,8 Pubs and Subs ,605.89
24851,8 Pubs and Subs ,413.87
24839,8 Pubs and Subs ,1023.51
24850,8 Pubs and Subs ,572.25
24853,8 Pubs and Subs ,395.06
24841,8 Pubs and Subs ,1109.97
24855,8 Pubs and Subs ,173.76
24851,8 Pubs and Subs ,529.19
24854,8 Pubs and Subs ,418.33
24842,8 Pubs and Subs ,1100.53
24852,8 Pubs and Subs ,499.54
24853,8 Pubs and Subs ,523.55
24856,8 Pubs and Subs ,273.03
24855,8 Pubs and Subs ,292.51
24844,8 Pubs and Subs ,1019.60
24854,8 Pubs and Subs ,577.26
24856,8 Pubs and Subs ,346.62
24858,8 Pubs and Subs ,302.75
24843,8 Pubs and Subs ,981.95
24858,8 Pubs and Subs ,360.07
24857,8 Pubs and Subs ,307.39
24852,8 Pubs and Subs ,683.45
24845,8 Pubs and Subs ,1041.00
24857,8 Pubs and Subs ,363.68
24859,8 Pubs and Subs ,186.26
24855,8 Pubs and Subs ,502.90
24859,8 Pubs and Subs ,241.91
24860,8 Pubs and Subs ,252.93
24846,8 Pubs and Subs ,1117.55
24856,8 Pubs and Subs ,576.37
24861,8 Pubs and Subs ,200.72
24860,8 Pubs and Subs ,312.02
24850,8 Pubs and Subs ,1083.15
24863,8 Pubs and Subs ,173.86
24861,8 Pubs and Subs ,259.80
24858,8 Pubs and Subs ,594.62
24851,8 Pubs and Subs ,1012.40
24863,8 Pubs and Subs ,225.71
24857,8 Pubs and Subs ,611.54
24853,8 Pubs and Subs ,1003.83
24864,8 Pubs and Subs ,117.56
24864,8 Pubs and Subs ,130.61
24859,8 Pubs and Subs ,508.75
24865,8 Pubs and Subs ,158.01
24865,8 Pubs and Subs ,168.15
24854,8 Pubs and Subs ,1072.51
24860,8 Pubs and Subs ,594.45
24852,8 Pubs and Subs ,1166.31
24866,8 Pubs and Subs ,207.82
24866,8 Pubs and Subs ,211.75
24861,8 Pubs and Subs ,557.67
24855,8 Pubs and Subs ,976.05
24867,8 Pubs and Subs ,252.79
24867,8 Pubs and Subs ,281.92
24863,8 Pubs and Subs ,562.67
24856,8 Pubs and Subs ,1039.47
24868,8 Pubs and Subs ,166.25
24868,8 Pubs and Subs ,193.22
24864,8 Pubs and Subs ,474.05
24858,8 Pubs and Subs ,1072.36
24869,8 Pubs and Subs ,205.13
24869,8 Pubs and Subs ,218.06
24865,8 Pubs and Subs ,543.45
24857,8 Pubs and Subs ,1121.39
24870,8 Pubs and Subs ,292.86
24870,8 Pubs and Subs ,308.53
24866,8 Pubs and Subs ,605.44
24859,8 Pubs and Subs ,1025.81
24871,8 Pubs and Subs ,283.53
24860,8 Pubs and Subs ,1095.93
24867,8 Pubs and Subs ,635.03
24871,8 Pubs and Subs ,290.65
24861,8 Pubs and Subs ,1049.14
24872,8 Pubs and Subs ,258.04
24868,8 Pubs and Subs ,571.00
24872,8 Pubs and Subs ,302.25
24863,8 Pubs and Subs ,1017.28
24873,8 Pubs and Subs ,315.24
24864,8 Pubs and Subs ,924.10
24869,8 Pubs and Subs ,596.52
24874,8 Pubs and Subs ,243.06
24865,8 Pubs and Subs ,946.33
24873,8 Pubs and Subs ,438.76
