Clients, Delay (ms)
16 Pubs and Subs ,11471.45
16 Pubs and Subs ,11474.62
16 Pubs and Subs ,11525.95
16 Pubs and Subs ,11513.29
16 Pubs and Subs ,11523.44
16 Pubs and Subs ,11515.39
16 Pubs and Subs ,11580.48
16 Pubs and Subs ,11608.44
16 Pubs and Subs ,11629.03
16 Pubs and Subs ,11593.55
16 Pubs and Subs ,11668.89
16 Pubs and Subs ,11662.86
16 Pubs and Subs ,11747.09
16 Pubs and Subs ,11715.04
16 Pubs and Subs ,11767.25
16 Pubs and Subs ,11778.76
16 Pubs and Subs ,11804.68
16 Pubs and Subs ,11804.72
16 Pubs and Subs ,11819.32
16 Pubs and Subs ,11821.68
16 Pubs and Subs ,11823.01
16 Pubs and Subs ,11834.32
16 Pubs and Subs ,11793.02
16 Pubs and Subs ,11873.17
16 Pubs and Subs ,11912.36
16 Pubs and Subs ,11919.01
16 Pubs and Subs ,12002.13
16 Pubs and Subs ,12059.01
16 Pubs and Subs ,12062.41
16 Pubs and Subs ,12082.78
16 Pubs and Subs ,12097.71
16 Pubs and Subs ,12120.96
16 Pubs and Subs ,12112.21
16 Pubs and Subs ,12121.58
16 Pubs and Subs ,12125.99
16 Pubs and Subs ,12130.78
16 Pubs and Subs ,12195.45
16 Pubs and Subs ,12233.53
16 Pubs and Subs ,12311.33
16 Pubs and Subs ,12294.27
16 Pubs and Subs ,12368.07
16 Pubs and Subs ,12399.80
16 Pubs and Subs ,12412.84
16 Pubs and Subs ,12412.10
16 Pubs and Subs ,12428.17
16 Pubs and Subs ,12445.98
16 Pubs and Subs ,12462.56
16 Pubs and Subs ,12473.74
16 Pubs and Subs ,12431.17
16 Pubs and Subs ,12539.83
16 Pubs and Subs ,12577.84
16 Pubs and Subs ,12587.49
16 Pubs and Subs ,12595.30
16 Pubs and Subs ,12663.53
16 Pubs and Subs ,12694.69
16 Pubs and Subs ,12706.98
16 Pubs and Subs ,12719.81
16 Pubs and Subs ,12639.86
16 Pubs and Subs ,12757.61
16 Pubs and Subs ,12778.67
16 Pubs and Subs ,12731.70
16 Pubs and Subs ,12789.92
16 Pubs and Subs ,12826.03
16 Pubs and Subs ,12857.61
16 Pubs and Subs ,12916.91
16 Pubs and Subs ,12925.26
16 Pubs and Subs ,12943.37
16 Pubs and Subs ,13001.70
16 Pubs and Subs ,53088.81
16 Pubs and Subs ,53258.55
16 Pubs and Subs ,53264.27
16 Pubs and Subs ,53269.96
16 Pubs and Subs ,53269.95
16 Pubs and Subs ,53270.06
16 Pubs and Subs ,53270.67
16 Pubs and Subs ,53274.09
16 Pubs and Subs ,53275.05
16 Pubs and Subs ,53278.25
16 Pubs and Subs ,53278.70
16 Pubs and Subs ,53293.60
16 Pubs and Subs ,53297.43
16 Pubs and Subs ,53300.03
16 Pubs and Subs ,53314.14
16 Pubs and Subs ,53322.54
16 Pubs and Subs ,53651.86
16 Pubs and Subs ,53686.41
16 Pubs and Subs ,53710.13
16 Pubs and Subs ,53734.92
16 Pubs and Subs ,53748.25
16 Pubs and Subs ,53757.21
16 Pubs and Subs ,53772.77
16 Pubs and Subs ,53804.58
16 Pubs and Subs ,53816.09
16 Pubs and Subs ,53837.32
16 Pubs and Subs ,53842.19
16 Pubs and Subs ,53847.60
16 Pubs and Subs ,53850.42
16 Pubs and Subs ,53852.70
16 Pubs and Subs ,53855.46
16 Pubs and Subs ,53868.11
16 Pubs and Subs ,53953.54
16 Pubs and Subs ,54002.03
16 Pubs and Subs ,54019.72
16 Pubs and Subs ,54029.66
16 Pubs and Subs ,54065.75
16 Pubs and Subs ,54073.97
16 Pubs and Subs ,54083.21
16 Pubs and Subs ,54086.78
16 Pubs and Subs ,54103.48
16 Pubs and Subs ,54109.39
16 Pubs and Subs ,54363.75
16 Pubs and Subs ,54375.06
16 Pubs and Subs ,54416.63
16 Pubs and Subs ,54463.06
16 Pubs and Subs ,54469.86
16 Pubs and Subs ,54461.99
16 Pubs and Subs ,54500.25
16 Pubs and Subs ,54484.96
16 Pubs and Subs ,54504.88
16 Pubs and Subs ,54507.13
16 Pubs and Subs ,54513.48
16 Pubs and Subs ,54555.43
16 Pubs and Subs ,54587.27
16 Pubs and Subs ,54592.05
16 Pubs and Subs ,54604.98
16 Pubs and Subs ,54614.59
16 Pubs and Subs ,54799.51
16 Pubs and Subs ,54798.14
16 Pubs and Subs ,54798.67
16 Pubs and Subs ,54846.25
16 Pubs and Subs ,54846.58
16 Pubs and Subs ,54855.00
16 Pubs and Subs ,54857.48
16 Pubs and Subs ,54864.26
16 Pubs and Subs ,54864.31
